agency_code,fiscal_year,total_budgetary_resources,obligations_incurred,outlays,agency_name
310,2023,11889863708699.81,8863660.56,11366458.51,Access Board
302,2023,11889863708699.81,3525694.57,3812130.63,Administrative Conference of the U.S.
306,2023,11889863708699.81,10714100.94,12209760.25,Advisory Council on Historic Preservation
166,2023,11889863708699.81,58255240.26,78850803.68,African Development Foundation
072,2023,11889863708699.81,38178688874.98,50093539489.94,Agency for International Development
074,2023,11889863708699.81,102972156.08,146997482.21,American Battle Monuments Commission
309,2023,11889863708699.81,318627431.99,692622791.67,Appalachian Regional Commission
084,2023,11889863708699.81,172396322.63,289089404.32,Armed Forces Retirement Home
313,2023,11889863708699.81,2442916.31,35906853.78,Barry Goldwater Scholarship and Excellence In Education Foundation
321,2023,11889863708699.81,832020.57,1073438.89,Commission for the Preservation of America's Heritage Abroad
323,2023,11889863708699.81,,,Commission of Fine Arts
326,2023,11889863708699.81,13961527.74,15804352.85,Commission on Civil Rights
338,2023,11889863708699.81,14328602.33,16853489.08,Committee for Purchase from People Who Are Blind or Severely Disabled
339,2023,11889863708699.81,356004046.82,682348990.02,Commodity Futures Trading Commission
581,2023,11889863708699.81,836937071.26,3573458245.23,Consumer Financial Protection Bureau
061,2023,11889863708699.81,173445056.13,191425768.26,Consumer Product Safety Commission
485,2023,11889863708699.81,2023554264.91,3151085943.92,Corporation for National and Community Service
096,2023,11889863708699.81,30957929640.42,80786554365.69,Corps of Engineers - Civil Works
542,2023,11889863708699.81,46046561.38,105056107.12,Council of the Inspectors General on Integrity and Efficiency
9553,2023,11889863708699.81,274905483.89,371317204.51,Court Services and Offender Supervision Agency
347,2023,11889863708699.81,40134585.09,49664731.02,Defense Nuclear Facilities Safety Board
517,2023,11889863708699.81,73402396.07,199144865.88,Delta Regional Authority
513,2023,11889863708699.81,57458588.2,122199802.56,Denali Commission
012,2023,11889863708699.81,296599267877.18,475155999521.89,Department of Agriculture
013,2023,11889863708699.81,22132409140.55,130658939364.37,Department of Commerce
097,2023,11889863708699.81,1330544104855.49,1523433316840.06,Department of Defense
091,2023,11889863708699.81,254914423992.33,274355384737.95,Department of Education
089,2023,11889863708699.81,71587391243.03,148680986213.91,Department of Energy
075,2023,11889863708699.81,2475673980552.7,2841385336401.95,Department of Health and Human Services
070,2023,11889863708699.81,133715424269.44,169379397503.14,Department of Homeland Security
086,2023,11889863708699.81,84501344517.92,260652029421.27,Department of Housing and Urban Development
015,2023,11889863708699.81,55576215204.85,69198013003.84,Department of Justice
1601,2023,11889863708699.81,58389543480.57,64102745444.76,Department of Labor
019,2023,11889863708699.81,51730909372.99,84032660946.18,Department of State
069,2023,11889863708699.81,139004427069.39,267807313633.93,Department of Transportation
036,2023,11889863708699.81,324410305628.4,377439923705.81,Department of Veterans Affairs
014,2023,11889863708699.81,43363738981.79,92162025521.29,Department of the Interior
020,2023,11889863708699.81,1644766940269.75,2093128575426.11,Department of the Treasury
349,2023,11889863708699.81,315366026.12,422184947.26,District of Columbia Courts
525,2023,11889863708699.81,108862442.6,174347972.02,Election Assistance Commission
068,2023,11889863708699.81,23652538067.59,82925497845.02,Environmental Protection Agency
045,2023,11889863708699.81,459113664.74,473242074.88,Equal Employment Opportunity Commission
1100,2023,11889863708699.81,1056279811.81,1437315898.05,Executive Office of the President
083,2023,11889863708699.81,326267326.55,582988274.59,Export-Import Bank of the United States
7802,2023,11889863708699.81,5088439.15,6727098749.27,Farm Credit System Insurance Corporation
027,2023,11889863708699.81,17181021504.1,13417721842.68,Federal Communications Commission
051,2023,11889863708699.81,144949378868.08,248062153350.79,Federal Deposit Insurance Corporation
360,2023,11889863708699.81,81858499.22,85746362.72,Federal Election Commission
362,2023,11889863708699.81,6303128.02,28740971.22,Federal Financial Institutions Examination Council
054,2023,11889863708699.81,30556573.84,30907983.01,Federal Labor Relations Authority
065,2023,11889863708699.81,38585900.53,41855577.43,Federal Maritime Commission
093,2023,11889863708699.81,55185450.8,70893151.59,Federal Mediation and Conciliation Service
368,2023,11889863708699.81,16199027.14,22761808.03,Federal Mine Safety and Health Review Commission
473,2023,11889863708699.81,24116460.39,359447795.68,Federal Permitting Improvement Steering Council
029,2023,11889863708699.81,427448856.43,494316894.38,Federal Trade Commission
047,2023,11889863708699.81,40452659305.84,58896993936.56,General Services Administration
005,2023,11889863708699.81,839611011.42,1041891000.3,Government Accountability Office
471,2023,11889863708699.81,260784024.13,498475640.78,Gulf Coast Ecosystem Restoration Council
372,2023,11889863708699.81,5504084.4,27138285.05,Harry S Truman Scholarship Foundation
474,2023,11889863708699.81,303190626.62,313577976.03,Institute of Museum and Library Services
164,2023,11889863708699.81,51834618.24,61239054.07,Inter-American Foundation
034,2023,11889863708699.81,115149080.25,126841620.99,International Trade Commission
381,2023,11889863708699.81,2936359.26,39561868.59,James Madison Memorial Fellowship Foundation
382,2023,11889863708699.81,2526805.09,2678879.61,Japan-United States Friendship Commission
3301,2023,11889863708699.81,,,John F. Kennedy Center for the Performing Arts
387,2023,11889863708699.81,4249629.61,5166955.05,Marine Mammal Commission
389,2023,11889863708699.81,52206227.4,58496149.45,Merit Systems Protection Board
524,2023,11889863708699.81,839474640.15,4334894083.61,Millennium Challenge Corporation
487,2023,11889863708699.81,12218390.9,25271019.04,Morris K. Udall and Stewart L. Udall Foundation
080,2023,11889863708699.81,28276054721.7,30923333337.33,National Aeronautics and Space Administration
088,2023,11889863708699.81,757424621.52,954214586.84,National Archives and Records Administration
394,2023,11889863708699.81,8909444.55,17941212.31,National Capital Planning Commission
413,2023,11889863708699.81,,,National Council on Disability
025,2023,11889863708699.81,4936854.11,18657364.11,National Credit Union Administration
417,2023,11889863708699.81,201739939.56,226691178.12,National Endowment for the Arts
418,2023,11889863708699.81,217355437.25,255226042.36,National Endowment for the Humanities
420,2023,11889863708699.81,299428799.35,307167691.33,National Labor Relations Board
421,2023,11889863708699.81,14940633.1,18524244.47,National Mediation Board
049,2023,11889863708699.81,9861960523.64,11074706435.52,National Science Foundation
424,2023,11889863708699.81,128713316.47,156788193.34,National Transportation Safety Board
573,2023,11889863708699.81,71347094.16,274500590.07,Northern Border Regional Commission
031,2023,11889863708699.81,946775650.07,1068301294.46,Nuclear Regulatory Commission
431,2023,11889863708699.81,3845555.93,5462510.9,Nuclear Waste Technical Review Board
432,2023,11889863708699.81,14536804.08,17024806.05,Occupational Safety and Health Review Commission
434,2023,11889863708699.81,22969686.32,25953282.61,Office of Government Ethics
435,2023,11889863708699.81,6251243.39,15626370.32,Office of Navajo and Hopi Indian Relocation
024,2023,11889863708699.81,234222972505.51,317140458825.87,Office of Personnel Management
062,2023,11889863708699.81,31953095.33,32617855.19,Office of Special Counsel
071,2023,11889863708699.81,0.03,24083943.45,Overseas Private Investment Corporation
579,2023,11889863708699.81,1006720026.18,1006720026.18,Patient-Centered Outcomes Research Trust Fund
1125,2023,11889863708699.81,472399171.32,530918564.51,Peace Corps
1602,2023,11889863708699.81,52988712993.56,112312583012.9,Pension Benefit Guaranty Corporation
512,2023,11889863708699.81,183812047.29,655126332.41,Presidio Trust
535,2023,11889863708699.81,10999230.74,13694089.84,Privacy and Civil Liberties Oversight Board
290,2023,11889863708699.81,1873060.8,8269676.51,Public Buildings Reform Board
060,2023,11889863708699.81,17008964703.44,17310410965.0,Railroad Retirement Board
050,2023,11889863708699.81,2882792771.13,3307526812.9,Securities and Exchange Commission
090,2023,11889863708699.81,35739009.63,38110627.08,Selective Service System
073,2023,11889863708699.81,32264243028.23,36659620827.94,Small Business Administration
028,2023,11889863708699.81,1506843076037.29,1511695704871.34,Social Security Administration
472,2023,11889863708699.81,41149455.91,45984857.95,Surface Transportation Board
514,2023,11889863708699.81,905419825.23,1022975117.53,U.S. Agency for Global Media
376,2023,11889863708699.81,,,U.S. Interagency Council on Homelessness
077,2023,11889863708699.81,1732011037.1,8384420589.93,U.S. International Development Finance Corporation
510,2023,11889863708699.81,14452038.3,20959527.33,United States Chemical Safety Board
345,2023,11889863708699.81,47295375.83,118544383.46,United States Court of Appeals for Veterans Claims
1133,2023,11889863708699.81,,,United States Trade and Development Agency
519,2023,11889863708699.81,,,Vietnam Education Foundation
